"Activity" "Subject" "Variable" "Average"
"LAYING" 10 "timeBodyAccelerometer-mean-X" 0.271955640141414
"LAYING" 10 "timeBodyAccelerometer-mean-Y" -0.0172440081767677
"LAYING" 10 "timeBodyAccelerometer-mean-Z" -0.112647412991919
"LAYING" 10 "timeBodyAccelerometer-std-X" -0.960106602914141
"LAYING" 10 "timeBodyAccelerometer-std-Y" -0.951462277848485
"LAYING" 10 "timeBodyAccelerometer-std-Z" -0.952398875161616
"LAYING" 10 "timeGravityAccelerometer-mean-X" -0.348691333914141
"LAYING" 10 "timeGravityAccelerometer-mean-Y" 0.678393442777778
"LAYING" 10 "timeGravityAccelerometer-mean-Z" 0.603866666691919
"LAYING" 10 "timeGravityAccelerometer-std-X" -0.943664621742424
"LAYING" 10 "timeGravityAccelerometer-std-Y" -0.974419599191919
"LAYING" 10 "timeGravityAccelerometer-std-Z" -0.954889977525253
"LAYING" 10 "timeBodyAccelerometerJerk-mean-X" 0.081100748550505
"LAYING" 10 "timeBodyAccelerometerJerk-mean-Y" 0.012401314860404
"LAYING" 10 "timeBodyAccelerometerJerk-mean-Z" -0.00244022737590909
"LAYING" 10 "timeBodyAccelerometerJerk-std-X" -0.97804185510101
"LAYING" 10 "timeBodyAccelerometerJerk-std-Y" -0.96603268969697
"LAYING" 10 "timeBodyAccelerometerJerk-std-Z" -0.976332394090909
"LAYING" 10 "timeBodyGyroscope-mean-X" -0.0113737480050505
"LAYING" 10 "timeBodyGyroscope-mean-Y" -0.104902803689899
"LAYING" 10 "timeBodyGyroscope-mean-Z" 0.139246699262626
"LAYING" 10 "timeBodyGyroscope-std-X" -0.968843273737374
"LAYING" 10 "timeBodyGyroscope-std-Y" -0.959003331161616
"LAYING" 10 "timeBodyGyroscope-std-Z" -0.959716157323232
"LAYING" 10 "timeBodyGyroscopeJerk-mean-X" -0.102220804975758
"LAYING" 10 "timeBodyGyroscopeJerk-mean-Y" -0.0363605967735354
"LAYING" 10 "timeBodyGyroscopeJerk-mean-Z" -0.0677162618333333
"LAYING" 10 "timeBodyGyroscopeJerk-std-X" -0.970994800252525
"LAYING" 10 "timeBodyGyroscopeJerk-std-Y" -0.977984728232323
"LAYING" 10 "timeBodyGyroscopeJerk-std-Z" -0.980665501767677
"LAYING" 10 "timeBodyAccelerometerMagnitude-mean" -0.951151911712121
"LAYING" 10 "timeBodyAccelerometerMagnitude-std" -0.938173633606061
"LAYING" 10 "timeGravityAccelerometerMagnitude-mean" -0.951151911712121
"LAYING" 10 "timeGravityAccelerometerMagnitude-std" -0.938173633606061
"LAYING" 10 "timeBodyAccelerometerJerkMagnitude-mean" -0.976137970808081
"LAYING" 10 "timeBodyAccelerometerJerkMagnitude-std" -0.969662608030303
"LAYING" 10 "timeBodyGyroscopeMagnitude-mean" -0.934147050151515
"LAYING" 10 "timeBodyGyroscopeMagnitude-std" -0.937303973070707
"LAYING" 10 "timeBodyGyroscopeJerkMagnitude-mean" -0.97961471020202
"LAYING" 10 "timeBodyGyroscopeJerkMagnitude-std" -0.973273430959596
"LAYING" 10 "frequencyBodyAccelerometer-mean-X" -0.96531360969697
"LAYING" 10 "frequencyBodyAccelerometer-mean-Y" -0.95494183449495
"LAYING" 10 "frequencyBodyAccelerometer-mean-Z" -0.960990320959596
"LAYING" 10 "frequencyBodyAccelerometer-std-X" -0.958514011430808
"LAYING" 10 "frequencyBodyAccelerometer-std-Y" -0.952344224070707
"LAYING" 10 "frequencyBodyAccelerometer-std-Z" -0.951098051570707
"LAYING" 10 "frequencyBodyAccelerometerJerk-mean-X" -0.977803513989899
"LAYING" 10 "frequencyBodyAccelerometerJerk-mean-Y" -0.966571056616162
"LAYING" 10 "frequencyBodyAccelerometerJerk-mean-Z" -0.972931742222222
"LAYING" 10 "frequencyBodyAccelerometerJerk-std-X" -0.980441986010101
"LAYING" 10 "frequencyBodyAccelerometerJerk-std-Y" -0.967980255252525
"LAYING" 10 "frequencyBodyAccelerometerJerk-std-Z" -0.978387330555556
"LAYING" 10 "frequencyBodyGyroscope-mean-X" -0.961287946863636
"LAYING" 10 "frequencyBodyGyroscope-mean-Y" -0.963293241212121
"LAYING" 10 "frequencyBodyGyroscope-mean-Z" -0.958001737272727
"LAYING" 10 "frequencyBodyGyroscope-std-X" -0.971460803030303
"LAYING" 10 "frequencyBodyGyroscope-std-Y" -0.957204370606061
"LAYING" 10 "frequencyBodyGyroscope-std-Z" -0.964051073232323
